name,ingredient,weight,category,note
S(우유제외)수박화채,"탄산 음료, 사이다",60,과일(간식),0
,"수박, 적육질, 생것",100,,
S감말랭이,"감말랭이, 말린것",30,과일(간식),0
S거봉(100g),"포도, 거봉, 생것",100,과일(간식),1
S곶감,"곶감, 말린것",40,과일(간식),0
S과일화채,우유,100,과일(간식),0
,"사과, 부사(후지), 생것",15,,
,"바나나, 생것",15,,
,"수박, 적육질, 생것",50,,
S(우유제외)과일화채,"탄산 음료, 사이다",100,과일(간식),0
,"사과, 부사(후지), 생것",15,,
,"바나나, 생것",15,,
,"수박, 적육질, 생것",50,,
S귤(50g),"귤, 조생, 생것",50,과일(간식),1
S귤(80g),"귤, 조생, 생것",80,과일(간식),1
S단감(50g),"감, 단감, 생것",50,과일(간식),0
S당근스틱,"당근, 뿌리, 생것",30,과일(간식),1
S딸기(100g),"딸기, 개량종, 생것",100,과일(간식),1
S멜론(100g),"멜론, 머스크, 생것",100,과일(간식),1
S멜론(50g),"멜론, 머스크, 생것",50,과일(간식),1
S멜론(75g),"멜론, 머스크, 생것",75,과일(간식),1
S멜론퓨레,"멜론, 머스크, 생것",80,과일(간식),1
S바나나(100g),"바나나, 생것",100,과일(간식),1
S바나나(50g),"바나나, 생것",50,과일(간식),1
S방울토마토(35g),"토마토, 방울토마토, 생것",35,과일(간식),1
S방울토마토(70g),"토마토, 방울토마토, 생것",70,과일(간식),1
S배(100g),"배, 신고, 생것",100,과일(간식),1
S배(50g),"배, 신고, 생것",50,과일(간식),1
S복숭아(60g),"복숭아, 천도, 생것",60,과일(간식),1
S복숭아(80g),"복숭아, 천도, 생것",80,과일(간식),1
S복숭아(백도)-60g,"복숭아, 백도, 생것",60,과일(간식),1
S복숭아(백도)-80g,"복숭아, 백도, 생것",80,과일(간식),1
S복숭아(천도)-60g,"복숭아, 천도, 생것",60,과일(간식),1
S복숭아(천도)-80g,"복숭아, 천도, 생것",80,과일(간식),1
S복숭아(황도)-60g,"복숭아, 황도, 생것",60,과일(간식),1
S복숭아(황도)-80g,"복숭아, 황도, 생것",80,과일(간식),1
S블루베리(50g),"블루베리, 생것",50,과일(간식),1
S사과(100g),"사과, 부사(후지), 생것",100,과일(간식),1
S사과(35g),"사과, 부사(후지), 생것",35,과일(간식),1
S사과(50g),"사과, 부사(후지), 생것",50,과일(간식),1
S사과(75g),"사과, 부사(후지), 생것",75,과일(간식),1
S수박(100g),"수박, 적육질, 생것",100,과일(간식),1
S수박화채,우유,100,과일(간식),0
,"수박, 적육질, 생것",100,,
S오렌지(100g),"오렌지, 생것",100,과일(간식),1
S오렌지(50g),"오렌지, 생것",50,과일(간식),1
S자두(50g),"자두, 생것",50,과일(간식),1
S참외(100g),"참외, 씨 포함, 생것",100,과일(간식),1
S참외(50g),"참외, 씨 포함, 생것",50,과일(간식),1
S청포도(100g),"포도, 청포도, 생것",100,과일(간식),1
S키위(100g),"키위, 생것",100,과일(간식),1
S키위(50g),"키위, 생것",50,과일(간식),1
S토마토(100g),"토마토, 생것",100,과일(간식),1
S토마토(200g),"토마토, 생것",200,과일(간식),1
S파인애플(50g),"파인애플, 생것",50,과일(간식),1
S포도(100g),"포도, 캠벨얼리, 생것",100,과일(간식),1
S감자건포도샐러드,"감자, 대지, 생것",70,샐러드(간식),1
,"마요네즈, 전란",5,,
,"포도, 건포도",5,,
S감자샐러드,"감자, 대지, 생것",70,샐러드(간식),1
,"마요네즈, 전란",5,,
,"아몬드, 말린것",1.5,,
S감자채요거트샐러드,"포도, 건포도",5,샐러드(간식),1
,"요구르트, 호상, 플레인",13,,
,"감자, 대지, 생것",60,,
S고구마경단,"고구마, 분질(밤) 고구마, 생것",50,샐러드(간식),0
,"크림, 중휘핑",2,,
,"빵, 카스텔라",8,,
,꿀,1,,
S고구마샐러드(마요네즈),"고구마, 분질(밤) 고구마, 생것",50,샐러드(간식),1
,"마요네즈, 전란",5,,
,꿀,1,,
S과일샐러드,"사과, 부사(후지), 생것",15,샐러드(간식),1
,"배, 신고, 생것",10,,
,"오렌지, 생것",25,,
,"마요네즈, 전란",5,,
S과일샐러드(마요네즈),"사과, 부사(후지), 생것",25,샐러드(간식),1
,"오렌지, 생것",25,,
,"마요네즈, 전란",5,,
S과일샐러드(요거트드레싱),"요구르트, 호상, 플레인",30,샐러드(간식),1
,"사과, 부사(후지), 생것",20,,
,"오렌지, 생것",10,,
S단호박샐러드,"호박, 단호박, 생것",50,샐러드(간식),1
,우유,10,,
,꿀,1,,
